site,month,day,year,do,temp,ph,cond,chl,alk,turb,nh3,tn,no3,tp,srp
ARM,8,31,2009,9.8,20.6,7.7,68,5.1,28.3,0.7,6.5,520,2.4,16.9,8.2
ARM,6,23,2010,9.1,20.2,7.7,53,3.3,21.1,0.6,5.1,480,1.4,25.3,12.1
ARM,7,25,2011,8.6,21.2,7.7,55,9.2,22.3,0.9,20.6,520,9.6,23.6,9.5
ARM,7,15,2013,8.78,22.9,7.4,61.1,4.7,24.5,1.32,-0.4,430.2,0,15.7,2.1
BAGL,8,25,2008,9.6,12.6,7.1,11,0.9,4.6,2.5,7.8,93.3,5.6,16.1,3.2
BAGL,9,15,2010,10.3,9.7,7.2,15,5.7,6.5,0.2,8,7.6,1.3,7.5,3
BAGL,8,29,2011,12.2,5.7,6.8,10,0.2,3.7,0.2,-2.1,53,11.3,-1.1,3.1
BAGL,8,28,2012,10.7,8.2,7.1,12,0.5,5.1,0.3,4.8,112,12.2,7.8,5.8
BAGL,8,5,2013,9.74,11,7,12.6,0.1,5.3,0.124,-2.8,28.8,14.8,4.2,3.4
BAGU,8,19,2007,11.3,7.3,6.5,13,0.2,5.1,1.4,1.3,20.5,19.6,30.8,7.9
BAGU,8,25,2008,10.4,8.4,7,13,1,4.7,0.3,11.9,76.5,18.6,12.9,3.8
BAGU,9,15,2010,11.8,6.8,7.2,15,1.3,5.7,1,12.7,144,6.5,17.6,4.7
BAGU,8,29,2011,12.4,2.7,6.9,12,0.1,5,0.1,0.5,22,24.1,1,4.1
BAGU,8,5,2013,10.96,7.3,7,11.4,0.1,4.8,0.13,-3.8,38.4,24.5,5.2,6
BAK,8,31,2011,10.8,16.7,7.1,33,1.4,7.5,0.9,5.1,53,3.4,4.8,3.1
BAK,8,7,2013,8.93,23.6,7,34.2,0.2,5.3,1.03,-0.4,10.7,6.5,3.3,0.7
BEA,9,14,2009,6,19.8,7.3,127,66,55.5,30.6,5.4,1669,1,139,8.1
BEA,7,12,2010,3,21.1,7.1,104,8.6,43.7,4.3,1.9,658,2.8,37.2,7
BEA,7,27,2011,7.3,22.3,7.4,101,4.8,46.6,3.4,5,544,5.6,33.1,6.5
BEA,8,15,2012,5.2,22,7.1,99,5,45.7,4,4.9,597,7.1,59.7,5.9
BEA,6,26,2013,8.22,19.5,7.2,101.6,39.9,43.8,6.43,7.1,696.4,2.7,54.8,7.1
BEAR,8,21,2012,8.4,20.7,6.3,6,1,1,0.8,0.1,137,5.1,-0.5,1.9
BEAR,8,14,2013,8.05,21.1,6.4,5.7,1.8,1.5,0.522,-5,163.8,7.2,13.2,0.3
BIG,4,17,2007,10,11.4,7.1,81,7.5,25.6,5.2,11.6,599.5,344.3,20.3,4.9
BIG,8,22,2007,9.1,22,7.5,99,27.8,37.8,4.6,4.7,367.9,0.5,21.7,7.7
BIG,8,20,2008,8.1,21.9,7.9,102,16,38.9,4.3,6.4,416.9,4.7,22.5,3.4
BIG,5,21,2009,10.3,19.4,7.8,86,1.9,28.7,1.9,8.1,571.1,270,10.8,4.8
BIG,9,14,2009,9.6,19.9,8.5,102,21.3,38.3,5.4,6.4,567,4.5,26.5,12.6
BIG,7,12,2010,7.3,22.6,7.7,88,10.3,39.9,3.2,-0.9,390,0.2,22.1,6
BIG,7,27,2011,8.5,21.8,7.6,84,5.1,29.6,1.5,13.5,359,5.6,16.9,9.1
BIG,8,15,2012,8.8,23.4,7.7,79,4.7,34.8,1.8,2,258,7,15,7.5
BIG,6,26,2013,8.82,20,7.4,81.4,6.6,29.4,1.47,1.6,280.5,1.1,13.9,1.2
BUG,4,9,2007,11.4,12.1,7.2,120,9.6,48,7.4,12.5,886.9,346.2,55.1,10.7
BUG,8,15,2007,11.6,24.2,9.3,160,4.3,68.5,2,9.5,658.6,1.5,21.8,3.2
BUG,5,1,2008,10.6,11.3,7.7,139,12.4,56.8,7.5,7.3,717.2,237,51,9.5
BUG,8,18,2008,5.1,22.2,9.1,123,25.8,49.6,3.9,5,942,2.9,37.9,7.4
BUG,4,20,2009,10.2,14.8,8,138,44.4,54.9,27.5,20.6,983.9,109.8,87.8,9.1
BUG,8,18,2009,21.5,25.3,10.5,177,5.7,53,3.9,12.6,879,1.4,55.8,15.6
BUG,6,28,2010,8.5,18.9,7.8,137,3.8,60.1,2.1,6.2,528,2.4,30.2,7.9
BUG,6,27,2011,10.8,22,8,141,6,59.9,2.1,11.4,500,6.7,24.6,8.4
BUG,3,29,2012,11.4,8.7,7.4,116,7.2,42.4,9.2,0.8,1068,595,48.1,9.3
BUG,6,19,2012,8.6,17.5,7.5,150,2.8,62.2,3.9,61.2,613,121,50.8,17.2
BUG,6,19,2013,8.13,21.3,7.6,138.3,6.2,59.2,2.81,25.9,612.3,7.5,37.5,9.8
CAI,8,23,2007,9.5,20.2,7.8,59,6.1,17.9,0.7,9.2,691.1,430.1,12.8,3
CAI,4,17,2008,11.4,9.3,7.1,62,2.4,13.8,0.9,15,1421.3,1363.8,12.7,5.1
CAI,8,13,2008,8.3,21.5,8.2,63,2.7,18.3,0.7,4.3,830.4,561.6,3.1,7.1
CAI,5,26,2009,8.8,19.4,7.4,58,2.7,15.4,1,10.9,1128.6,902.4,18.2,3.1
CAI,8,10,2009,8.8,20.4,8.3,60,3,18.3,0.6,7.1,822,515,7.7,4.5
CAI,6,16,2010,10,16.7,7.7,53,8.4,16.4,1.1,16.8,733,478,4.6,7.4
CAI,4,19,2012,11.2,12,7.4,69,18.3,13.2,0.7,7.1,1438,1269,7.4,3.4
CAI,6,24,2013,9.44,19.3,7.4,51.5,3,16.3,0.87,13.1,814.7,504.6,9,1.5
CAM,3,27,2007,10.6,9.7,7.6,248,5.7,64.7,2.2,16.5,631.5,0.5,19.3,4.9
CAM,8,14,2007,7.4,21.3,8.3,268,45.3,74.6,18.6,12.1,1341.5,1.6,49.4,3.7
CAM,8,27,2008,10.7,20.2,9.2,275,87.9,88.5,25.4,16.9,1498.4,5,82.2,0.2
CAM,5,14,2009,9.7,17.6,8.1,244,10.3,74.1,4,11.6,944.2,3.1,25.4,4
CAM,8,24,2009,10.7,21.8,8.5,278,26.6,92.3,8.6,6.6,1198,-0.3,52.3,5.3
CAM,7,7,2010,7.4,20.5,8.1,258,7.5,83.3,3.8,-1.4,799,0.3,21.8,5.3
CAM,7,20,2011,6.8,20.7,7.8,254,9.8,74.1,2.2,16.8,650,6.2,20.4,5.6
CAM,7,24,2012,8.5,19.5,8.1,261,18.6,72,4.4,35.5,889,7.9,41.3,5.4
CAM,7,31,2013,8.76,21.3,8.3,266,27,89.4,5.18,2.6,970.4,6.2,35.8,1.6
CAV,4,17,2007,10.1,7.1,6.4,29,3.2,8.1,1.6,13,333.2,231.6,8.7,3.5
CAV,8,22,2007,8.9,21.1,7,29,5.6,9.2,0.8,9.1,171.4,16.1,18.8,2.3
CAV,8,20,2008,8.5,19.3,7.4,31,3,9.4,1.5,21.5,227.6,50,10.4,0.8
CAV,5,21,2009,9.8,17.2,7.1,30,1.4,8.7,0.5,4.6,315.5,170.8,6.9,0.9
CAV,9,14,2009,8.2,20.1,7.4,31,1.9,10.3,0.8,13.3,161,3.2,10.5,2.8
CAV,7,12,2010,8.2,21,7.3,30,2.5,10.2,0.7,3.2,236,64.7,6.1,4.3
CAV,7,27,2011,9.5,19.4,7.5,44,3.9,9,2.1,15.6,236,22.9,4.4,2.4
CAV,8,15,2012,8.8,24.5,7.4,29,2.3,9.5,1,3.1,179,18.9,-0.9,1.8
CAV,6,26,2013,9.93,17.5,7.4,27.8,3.4,8.7,0.64,17.3,276.2,76.5,4.4,0.8
CAY,8,26,2008,8.8,12.4,6.6,19,3.2,6.9,5.6,12.8,248.3,76.1,10.4,0.8
CED,8,14,2008,6.8,19.6,7.2,55,1.4,14.6,0.4,10.6,425.2,115.9,4.1,2.7
CLE,4,17,2007,9.6,11.3,6.9,83,5.9,29,3.2,5.9,479.7,139.9,18,5.3
CLE,8,22,2007,6.7,21.5,7,86,7,32.4,1.1,4.6,367.7,0.9,22.6,3.1
CLE,8,20,2008,7.6,21.5,7.5,88,3.9,32,1,8.6,287,1.9,11.5,2
CLE,5,21,2009,7.2,19.2,7.5,85,4,29.8,1.4,15,432.4,1.3,19.1,4.2
CLE,9,14,2009,6.2,20.5,7.1,91,5,32.9,2.9,3.3,486,-0.4,17,2.6
CLE,7,12,2010,6.8,22.1,7.2,86,3.2,30.1,1.4,8.7,384,2,16.7,2.6
CLE,7,27,2011,9.3,21.2,7.8,83,3.4,32.1,1.2,-0.8,343,4.4,6.4,2.2
CLE,8,15,2012,6.6,22.3,7.2,86,2.5,34.6,1,1.3,340,7,10.9,3.4
CLE,6,26,2013,8.57,19.8,7.2,82.7,3.7,32.8,1.02,1.7,329.6,1.5,11.5,1.4
COAL,8,28,2013,9.3,16.2,7.8,50.7,0.7,23.8,0.28,-4.1,56.9,0.4,3.4,0.8
CRA,8,14,2007,8,21,7.7,278,29.5,65,2.3,16.4,870.1,1.1,36.4,7.8
CRA,8,27,2008,7.6,20,8,282,7.1,35.4,1.1,18.3,766.5,0.8,30.8,4.6
CRA,5,14,2009,8.2,17.3,7.6,261,17.6,58,2.9,20.9,902.7,4,40.6,12.7
CRA,8,24,2009,11.6,20.9,9,286,13.6,65.7,2.5,7.6,985,0.3,27.2,3.7
CRA,7,7,2010,9.1,20.3,8.3,271,43.8,61.2,7.4,0.4,1073,-0.2,76.1,2.5
CRA,7,20,2011,9,20.2,8.6,259,14.6,63.6,2.7,12.7,1018,6.4,48,3.7
CRA,7,31,2013,8.74,20.8,8.1,259,11.6,62.2,1.95,5.6,862.6,6.7,35.6,2
CRB,9,21,2009,7.9,20,7.3,58,4.2,10.8,0.8,26,529,42.3,4.4,1.6
CRB,6,21,2010,7.9,17.7,7.2,52,9.5,9.3,0.9,10.4,594,156,7.4,2.9
CRB,7,25,2011,8.8,21,7.7,51,6.1,10.1,1.1,0,712,231,4.9,3.2
CRB,8,6,2012,8.9,24.5,7.5,49,2.9,11.1,1.5,6.7,715,214,8.8,2.3
CRB,7,10,2013,8.93,24.3,7.3,49.3,6.3,11,1.31,9.1,535,62,10.2,1.1
DEE,4,29,2008,12.2,12.8,7.7,79,6.6,19.4,1.1,7.1,79.6,6.9,17.6,0.4
DEE,8,27,2008,8.6,20,7.5,83,1.9,21,0.6,9.5,413.9,0.5,5.6,0.2
DEE,8,24,2009,9.1,21.6,7.8,84,2.4,21.4,0.7,24.7,463,5,8.7,3.9
DEE,9,29,2009,8.6,17.9,7.6,85,2.6,22,0.7,2.3,452,0.3,2.5,-0.1
DEE,7,14,2010,7.7,21.1,7.7,86,2.4,20.3,0.5,4.9,581,1,6.4,0.9
DEE,7,18,2011,9.5,21.6,7.6,78,2.8,21.4,13.4,8.9,479,6.9,4.8,1.8
DEE,4,16,2012,10.7,13.4,7,78,3.5,20.3,0.9,2.6,606,118,13.8,4.1
DEE,7,16,2012,9.1,23.7,7.6,76,2,22.1,1,13.4,436,5.2,4.4,0
ERI,3,27,2007,11.1,9.9,7.8,223,24.6,59.6,3.8,25.5,847.4,58.3,24,3.7
ERI,8,14,2007,8.9,20.9,8.5,260,12.2,77.1,2.3,21.9,828.3,1.1,17.8,2.4
ERI,8,27,2008,8.9,19.5,8.9,250,3.8,70.1,1.6,17.4,725.4,0.9,20,0.6
ERI,5,14,2009,9.7,15.6,7.6,201,0.9,45.7,1.4,16.1,676.2,0.4,9.5,4.6
ERI,8,24,2009,9.7,21.8,8.2,256,10.3,69.9,2.5,12.3,988,-0.3,21,3.2
ERI,7,7,2010,8,21.8,8.3,241,28.4,68.2,6.6,3.6,1420,0.2,60.3,6.6
ERI,7,20,2011,6.5,20.9,7.6,256,8,64.9,1.8,4.8,675,6.1,19.4,4.3
ERI,7,24,2012,8.8,19.3,9.6,238,1.6,70.6,1,29.5,855,6.3,20.1,3.8
ERI,7,31,2013,4.57,21.1,7.6,270,28.8,88,8.15,70.5,1270.8,29.3,44.7,1.9
EVAN,8,21,2012,8.1,21.7,6.4,9,4.9,1.9,3.1,0,429,6.6,20.5,4.3
EVT,8,31,2011,9,20.1,7.7,137,6.8,65.8,2.3,7.3,302,4.7,8.2,6.3
EVT,8,7,2013,9.23,23.1,8.1,133.8,3,64.2,1.02,1.4,229.2,8.3,6.2,0.9
FAZ,4,11,2007,13.4,13,7.7,242,63.6,42.5,4.8,10.4,1312.8,-0.9,87.6,11.5
FAZ,8,15,2007,4.8,22.2,7,324,10.2,51.6,1.2,776.7,1827.2,11.5,62,22.2
FAZ,4,22,2008,8.9,9.8,7.3,398,14.4,42.3,5.4,91.6,1358.8,201.2,76.7,23.1
FAZ,8,11,2008,7.1,22.5,7.6,446,35.9,52.1,7,6.1,1215.2,0.1,127.3,51.4
FAZ,5,4,2009,8.5,17.2,7.4,415,10.1,43.7,2.2,14.9,864.5,-0.6,52,24.3
FAZ,6,28,2010,7.9,19.4,8.9,341,9.4,48.6,7,434.9,1985,10.7,57.7,7.5
FAZ,9,21,2010,8.1,18.9,7.6,391,11.6,53.9,4.5,2.5,1261,2.1,88,21
FAZ,6,29,2011,7.5,19.8,7.5,262,44.1,52.7,7.8,148,1414,15.5,60.7,4.9
FAZ,3,29,2012,9.4,8.4,7,287,3.1,40.3,3.8,151,1310,401,73.5,24.8
FAZ,6,26,2012,9.2,17.7,7.6,277,16.3,48.1,3.7,10.6,1035,5.8,58.5,8.4
FAZ,6,18,2013,6.19,21.5,7,237,6.5,48.6,1.82,181.6,1161.8,23.3,39.1,6.3
FAZ,8,21,2013,5.94,21.7,7.3,262,9,53.8,1.58,9.6,874.7,7.8,43,1.4
GEN,4,19,2012,11.6,11,7.2,44,34.5,14.6,3.8,3.3,717,30.5,59.7,5.9
GOO,9,21,2009,8.1,20.7,7.8,101,2.5,33.9,0.6,13.4,453,0.7,0.7,2.4
GOO,6,21,2010,9.8,17.6,8.1,93,4.8,39.7,0.7,8.7,383,0.2,-1.7,3.6
GOO,7,25,2011,8.5,20.6,7.9,91,2.4,28.7,0.6,8.8,417,6.9,-2.8,6.9
GOO,8,6,2012,9,23.6,7.7,89,2.1,28.3,1.1,4.5,461,7.4,4.7,0.9
GOO,7,10,2013,9.25,24,7.8,86.8,2.5,27.4,0.76,10.8,414.6,3,6.4,0.9
GOS,8,27,2008,8.4,20.5,8,129,2,33.2,0.8,11.4,337.7,0.7,9.9,0.2
GOS,8,24,2009,9.4,21.4,8.1,133,1.9,34.4,0.3,4.5,390,1.3,5.1,1.8
GOS,7,14,2010,8.4,22.3,7.9,124,1.5,31.5,0.5,1.7,498,0.4,12.5,2.3
GOS,7,18,2011,8.8,22.1,7.5,118,2.5,31,1.1,31.2,517,32.8,9,1
GOS,4,16,2012,10.3,13.9,7,118,2,29.3,0.9,27,691,255,13.6,3.9
GOS,7,16,2012,8.7,23.8,7.6,119,1.4,29.9,0.9,30.7,543,91.4,10.9,2
GOS,7,22,2013,8.83,22.3,7.8,122.8,2.8,33.2,0.594,3.5,469.8,1.5,11.3,1
GRA,9,8,2009,8.9,18.8,7.9,136,8.5,64.8,4.1,18.7,414,2.8,27.6,6.8
GRA,8,31,2011,7,20,7.7,137,4.6,69,2.9,19.9,361,5,17.2,5.3
GRA,8,7,2013,9.05,23,8.2,126.3,2.5,60.2,1.13,2,271.2,6.5,16.4,1.4
HEA,3,27,2007,11.6,9.3,7.9,218,8.4,62.3,3.7,4.8,531.1,-0.5,16.7,1.7
HEA,8,14,2007,8.2,20.7,7.7,239,13.2,73.8,2.7,11.4,639.8,3,30.1,9.8
HEA,8,27,2008,7.8,19.7,8.3,236,17.7,75.1,4.8,17.8,688.6,1.3,43.7,5.9
HEA,5,14,2009,10,16.1,8,216,2.4,61.5,2.8,16.4,537.4,-1.3,16.5,2.1
HEA,8,24,2009,11.4,22.5,9.1,235,13.4,74.9,3.5,7.7,847,0.3,25.4,3.6
HEA,7,7,2010,10.2,20.6,9.3,217,28.3,67.3,6.5,-1.9,935,0.3,35.5,3.2
HEA,7,20,2011,9.7,20.6,9.3,219,28.6,67.6,7.9,6.3,1017,6.2,42.9,5.2
HEA,7,24,2012,9.7,20.4,8.7,218,19.2,53.3,6.3,7.4,834,5.5,25.8,1.9
HEA,7,31,2013,9.97,20.8,9.4,213,31.9,63.1,4.44,3.2,837.4,6,36.5,1.6
HEA,8,26,2013,6.2,20.6,9.1,212,18,62.8,17.8,20,1650.2,2.9,72.3,2.7
HIG,9,15,2010,9.4,14,6.7,19,1.3,2.8,1.1,10.4,136,-0.4,3,0.8
HIG,8,29,2011,7.5,19.7,6.6,12,1.3,2.7,0.8,-0.4,93,3.5,4.8,0.6
HIG,8,28,2012,8.5,16.8,6.6,10,0.4,2.4,0.6,-1.4,83,4.8,7.5,2.5
HIG,8,19,2013,8.08,18.1,6.8,13.1,1.7,2.7,0.51,-1.5,120,6.6,8.7,0.7
HON,8,24,2009,8.7,20.3,7.8,229,5.1,79.5,2,6,723,0,33,14.3
HON,7,18,2011,9.7,21.7,7.7,162,2.8,51.7,1.6,48.8,830,8.1,53.2,16.1
HON,4,16,2012,9.8,13.1,6.6,117,9.3,23.5,5.2,22,2011,1162,58,15.7
HON,7,22,2013,9.45,21.1,8.9,182.1,169.3,64.7,13.4,11.3,1887.2,5.3,101.2,13
HOW,9,21,2009,8.2,19.4,7.9,125,2.5,46.6,0.7,14.7,423,1.7,4.3,3.7
HOW,6,21,2010,8.7,18,7.8,117,4.3,43.7,1.7,21.3,446,7.1,1.4,1.8
HOW,7,25,2011,8.2,20.5,7.9,117,4.1,43.3,1.1,27.5,551,89.3,2.6,1.7
HOW,8,6,2012,8.9,23.9,7.9,118,1.3,43.9,0.7,6.5,448,8.2,5.9,3
HOW,7,10,2013,9.06,23.3,7.8,119.9,1.5,45.1,0.53,9.1,417.9,5.2,8.1,1.3
KET,8,31,2009,15.3,20.9,9.9,168,323,47.1,13.3,8,1571,-0.3,218,119
KET,6,23,2010,3.4,21.2,7.3,146,1.2,42.1,4.3,481,1753,33.6,125,84.6
KET,7,15,2013,14.19,23.9,10,144.3,54.9,37.4,4.79,9.4,1289.8,9.3,59.5,4.3
KI,9,21,2009,8.2,20.9,7.3,47,1.5,9.3,0.6,30.2,350,0,0.4,0.7
KI,6,21,2010,9.1,17.6,7.4,44,2.8,9.4,0.7,9.2,305,0.7,-9.5,4.6
KI,7,25,2011,8.9,20.5,8,44,4.7,9.7,0.7,5.6,339,13.9,-4.5,0.8
KI,8,6,2012,8.6,24.1,7.3,44,1.1,10,0.6,6.2,325,7.5,2.2,0.4
KI,7,10,2013,9.58,25,7.7,44.4,3.2,10.1,0.61,7.4,319,0.7,5.5,0.6
LOM,9,21,2009,8,20.7,7,57,8.3,9.4,1.9,38.6,652,-0.2,19.4,3.5
LOM,6,21,2010,8.6,17.1,6.8,46,11.3,8.1,6.4,5.6,1016,-1.1,18.1,5.2
LOM,7,25,2011,7.8,20.5,7,44,30.5,9.1,5.7,3.3,900,6.2,25.6,11.6
LOM,8,6,2012,7.2,24.9,6.9,48,3.1,8.9,0.8,24.3,626,18.4,21.7,2.7
LOM,7,10,2013,7.56,25.3,6.6,45.2,5,8.7,1.03,19.1,699.3,5.9,36.4,3
LON,4,29,2008,9.5,13.8,7.8,167,7.7,53.2,2.9,11.4,365.2,6.9,32.2,3.4
LON,8,27,2008,5.1,19.8,8,193,32.4,68.8,4.5,389,1466.1,7,363.6,223
LON,8,24,2009,14.6,21.8,9.6,196,596,67.1,32.8,10,2671,0.9,335,32.6
LON,9,29,2009,10.4,17.1,8.8,194,257.6,66.8,17.7,10.3,1544,3.3,187.9,73
LON,7,14,2010,10.6,23,9.5,175,41.1,57.7,11.1,3.7,1694,1.6,268,150
LON,7,18,2011,7.9,21.3,7.7,164,10.5,56.9,3.2,117,1275,25.3,89,27.3
LON,4,16,2012,10,13.6,7.3,153,6.2,52.7,2.5,1.9,872,4,32.1,4.8
LON,7,22,2013,11.03,22.7,9.3,163.1,58.6,60.5,4.2,36.8,1783.3,6.6,168.2,22
LOU,4,19,2007,10.4,11.4,6.7,64,4.2,17.4,1.9,65,756.6,518,10.4,7.5
LOU,8,23,2007,8.8,21.6,7.7,68,10.9,23.3,1.1,1.1,283,1.2,11.5,7.4
LOU,4,17,2008,11.8,9.9,7.4,69,3.2,18.3,0.8,31.3,598.1,466.8,12.9,5.5
